shot_number,trigger_time,Attenuator,Blade_X,Blade_Z,Lanex1,Lead_Shield,Lens1_Z,Lens2_X,Lens2_Y,Lens2_Z,Mask_X,Mask_Z,Microscope_X,Microscope_Y,Microscope_Z,PCO_Filter,PM_R,PM_X,PM_Y,PM_Z,Positron_X,Positron_Y,Positron_Z,Probe_Delay,Probe_Filter,Probe_Iris,Target1_R,Target1_X,Target1_Y,Target1_Z,Target2_X,Target2_Y,Target2_Z
5,15:07:15,0.0,0.0,0.0,-99.0,0.0,0.0,-0.5,-60.6,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,642.5,336.063,-36.0,-15.0,0.0,0.0,0.0,-19.4,20.0,-4.0,-2.747,32.75,25.55,-1.5,-36.0,-53.2,1.8
6,15:07:24,0.0,0.0,0.0,-99.0,0.0,0.0,-0.5,-60.6,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,642.5,336.063,-36.0,-15.0,0.0,0.0,0.0,-19.4,20.0,-4.0,-2.747,32.75,25.55,-1.5,-36.0,-53.2,1.8
7,15:07:35,0.0,0.0,0.0,-99.0,0.0,0.0,-0.5,-60.6,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,642.5,336.063,-36.0,-15.0,0.0,0.0,0.0,-19.4,20.0,-4.0,-2.747,32.75,25.55,-1.5,-36.0,-53.2,1.8
