shot,trigger_time,Laser energy,GDD,Jet 1 pressure,Jet 2 pressure,comment,TOD,spherical mirror
2,10:19:23,,,,,,,
4,10:23:22,,,,,,,
4,10:23:22,,,,,,,
5,10:26:22,,,,,,,
7,10:27:21,,,,,,,
9,10:29:22,,,,,,,
10,10:30:22,,,,,,,
14,10:35:22,,,,,,,
15,10:36:22,277.3,29200,0,0,"on screen",-110000,59.05
16,10:40:22,,,,,,,
17,10:43:21,,,,,,,
19,10:49:22,,,,,,,
25,11:25:21,,,,,,,
40,12:21:21,,,,,,,
43,12:28:21,,,,,,,
48,12:41:21,,,,,,,
50,12:45:21,,,,,,,
51,12:47:21,,,,,,,
56,13:02:21,,,,,,,
57,13:04:22,,,,,,,
58,13:06:22,,,,,,,
59,13:09:21,,,,,,,
60,13:11:22,,,,,,,
61,13:15:22,,,,,,,
69,13:35:21,,,,,,,
74,13:48:20,,,,,,,
75,13:52:21,,,,,,,
77,13:58:21,,,,,,,
80,14:04:20,,,,,,,
84,14:13:20,,,,,,,
85,14:16:21,,,,,,,
87,14:31:21,,,,,,,
88,14:33:21,,,,,,,
90,14:37:21,,,,,,,
92,14:41:21,,,,,,,
93,14:43:20,,,,,,,
94,14:48:20,,,,,,,
101,15:06:20,,,,,,,
103,15:11:20,,,,,,,
106,15:40:50,,,,,,,
110,15:41:09,,,,,,,
121,16:12:21,,,,,,,
122,16:13:21,,,,,,,
123,16:15:21,,,,,,,
124,16:18:21,,,,,,,
125,16:21:20,,,,,,,
126,16:23:21,,,,,,,
127,16:26:20,,,,,,,
128,16:28:21,,,,,,,
129,16:30:20,,,,,,,
130,16:32:21,,,,,,,
133,16:43:20,,,,,,,
136,16:49:21,,,,,,,
140,16:57:21,,,,,,,
142,17:01:21,,,,,,,
144,17:05:20,,,,,,,
146,17:09:20,,,,,,,
151,17:24:20,,,,,,,
152,17:27:20,,,,,,,
