shot_number,trigger_time,Attenuator,Blade_X,Blade_Z,Lanex1,Lead_Shield,Lens1_Z,Lens2_X,Lens2_Y,Lens2_Z,Mask_X,Mask_Z,Microscope_X,Microscope_Y,Microscope_Z,PCO_Filter,PM_R,PM_X,PM_Y,PM_Z,Positron_X,Positron_Y,Positron_Z,Probe_Delay,Probe_Filter,Probe_Iris,Target1_R,Target1_X,Target1_Y,Target1_Z,Target2_X,Target2_Y,Target2_Z
17,12:45:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
18,12:47:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
19,12:49:11,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
20,12:52:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
21,12:54:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
22,12:57:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
23,12:59:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
24,13:02:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
25,13:05:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,30.5,-36.0,-53.2,1.8
26,13:06:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,30.5,-36.0,-53.2,1.8
27,13:14:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,10.5,-36.0,-53.2,1.8
28,13:16:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,10.5,-36.0,-53.2,1.8
29,13:19:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
30,13:21:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
31,13:23:10,0.0,0.0,0.0,49.0,0.0,0.0,-0.5,-60.35,-0.95,-0.3,48.5,1.43,55.0,-20.0,-95.0,732.5,100.0,-11.1,-20.0,113.0,0.0,0.0,-12.3,20.0,-4.0,-0.9,33.0,26.75,20.5,-36.0,-53.2,1.8
